FSA,Language,Count,Year
M1N,Sindhi,20,2006
M1N,Sinhala (Sinhalese),0,2006
M1N,Urdu,80,2006
M1N,Malayalam,0,2006
M1N,Tamil,145,2006
M1N,Telugu,0,2006
M1N,Japanese,15,2006
M1N,Korean,195,2006
M1N,Cantonese,275,2006
M1N,"Chinese, n.o.s.",335,2006
M1N,Mandarin,130,2006
M1N,Taiwanese,0,2006
M1N,Lao,0,2006
M1N,Khmer (Cambodian),0,2006
M1N,Vietnamese,185,2006
M1N,Bisayan languages,0,2006
M1N,Ilocano,0,2006
M1N,Malay,0,2006
M1N,"Tagalog (Pilipino, Filipino)",75,2006
M1N,Akan (Twi),0,2006
M1N,Swahili,0,2006
M1N,Creoles,0,2006
M1N,Other languages,15,2006
M1P,Algonquin,0,2006
M1P,Atikamekw,0,2006
M1P,Blackfoot,0,2006
M1P,Carrier,0,2006
M1P,Chilcotin,0,2006
M1P,Chipewyan,0,2006
M1P,Cree,0,2006
M1P,Siouan languages (Dakota/Sioux),0,2006
M1P,Dene,0,2006
M1P,Dogrib,0,2006
M1P,Gitksan,0,2006
M1P,Inuinnaqtun,0,2006
M1P,"Inuktitut, n.i.e.",0,2006
M1P,Kutchin-Gwich'in (Loucheux),0,2006
M1P,Malecite,0,2006
M1P,Mi'kmaq,0,2006
M1P,Mohawk,0,2006
M1P,Montagnais-Naskapi,0,2006
M1P,Nisga'a,0,2006
M1P,North Slave (Hare),0,2006
M1P,Ojibway,0,2006
M1P,Oji-Cree,0,2006
M1P,Shuswap,0,2006
M1P,South Slave,0,2006
M1P,Tlingit,0,2006
M1P,Italian,110,2006
M1P,Portuguese,90,2006
M1P,Romanian,45,2006
M1P,Spanish,410,2006
M1P,Danish,0,2006
M1P,Dutch,0,2006
M1P,Flemish,0,2006
M1P,Frisian,0,2006
M1P,German,60,2006
M1P,Norwegian,0,2006
M1P,Swedish,0,2006
M1P,Yiddish,0,2006
M1P,Bosnian,0,2006
M1P,Bulgarian,0,2006
M1P,Croatian,15,2006
M1P,Czech,20,2006
M1P,Macedonian,255,2006
M1P,Polish,145,2006
M1P,Russian,85,2006
M1P,Serbian,15,2006
M1P,Serbo-Croatian,0,2006
M1P,Slovak,0,2006
M1P,Slovenian,0,2006
M1P,Ukrainian,0,2006
M1P,Latvian,10,2006
M1P,Lithuanian,0,2006
M1P,Estonian,0,2006
M1P,Finnish,0,2006
M1P,Hungarian,120,2006
M1P,Greek,300,2006
